Date,Account Code,Voucher Type,Voucher ID,Description,Debit,Credit,Balance
01-09-2025,10000001,ADVANCE,2284,Advance Invoice #2284,"5,600.00",0.00,"5,600.00"
01-10-2025,10000001,ADVANCE,2344,Advance Invoice #2344,"20,000.00",0.00,"337,400.00"
01-10-2025,10000001,ADVANCE,2345,Advance Invoice #2345,"3,100.00",0.00,"340,500.00"
01-10-2025,10000001,ADVANCE,2346,Advance Invoice #2346,"100,000.00",0.00,"440,500.00"
02-09-2025,10000001,ADVANCE,2285,Advance Invoice #2285,"5,000.00",0.00,"10,600.00"
02-09-2025,10000001,ADVANCE,2286,Advance Invoice #2286,"3,000.00",0.00,"13,600.00"
02-09-2025,10000001,ADVANCE,2287,Advance Invoice #2287,"3,000.00",0.00,"16,600.00"
02-09-2025,10000001,ADVANCE,2288,Advance Invoice #2288,"5,000.00",0.00,"21,600.00"
02-10-2025,10000001,ADVANCE,2347,Advance Invoice #2347,"5,500.00",0.00,"446,000.00"
02-10-2025,10000001,ADVANCE,2348,Advance Invoice #2348,"5,000.00",0.00,"451,000.00"
02-10-2025,10000001,ADVANCE,2349,Advance Invoice #2349,"12,600.00",0.00,"463,600.00"
03-09-2025,10000001,ADVANCE,2289,Advance Invoice #2289,"9,000.00",0.00,"30,600.00"
03-09-2025,10000001,ADVANCE,2290,Advance Invoice #2290,"5,000.00",0.00,"35,600.00"
03-09-2025,10000001,ADVANCE,2291,Advance Invoice #2291,"5,000.00",0.00,"40,600.00"
03-09-2025,10000001,ADVANCE,2292,Advance Invoice #2292,"5,000.00",0.00,"45,600.00"
03-09-2025,10000001,ADVANCE,2293,Advance Invoice #2293,"1,000.00",0.00,"46,600.00"
03-09-2025,10000001,ADVANCE,2294,Advance Invoice #2294,"3,500.00",0.00,"50,100.00"
03-09-2025,10000001,ADVANCE,2295,Advance Invoice #2295,"5,000.00",0.00,"55,100.00"
03-10-2025,10000001,ADVANCE,2350,Advance Invoice #2350,"2,000.00",0.00,"465,600.00"
04-09-2025,10000001,ADVANCE,2296,Advance Invoice #2296,"3,000.00",0.00,"58,100.00"
04-10-2025,10000001,ADVANCE,2351,Advance Invoice #2351,"12,000.00",0.00,"477,600.00"
04-10-2025,10000001,ADVANCE,2352,Advance Invoice #2352,"5,000.00",0.00,"482,600.00"
04-10-2025,10000001,ADVANCE,2353,Advance Invoice #2353,"60,000.00",0.00,"542,600.00"
04-10-2025,10000001,ADVANCE,2354,Advance Invoice #2354,"6,100.00",0.00,"548,700.00"
04-10-2025,10000001,ADVANCE,2355,Advance Invoice #2355,"7,500.00",0.00,"556,200.00"
04-10-2025,10000001,ADVANCE,2356,Advance Invoice #2356,"2,000.00",0.00,"558,200.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"3,000.00",0.00,"561,200.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"1,000.00",0.00,"562,200.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"3,000.00",0.00,"565,200.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,300.00,0.00,"565,500.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,200.00,0.00,"565,700.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,200.00,0.00,"565,900.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"5,000.00",0.00,"570,900.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"4,000.00",0.00,"574,900.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"5,000.00",0.00,"579,900.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"8,000.00",0.00,"587,900.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"3,500.00",0.00,"591,400.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"1,000.00",0.00,"592,400.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"5,000.00",0.00,"597,400.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"5,000.00",0.00,"602,400.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"10,000.00",0.00,"612,400.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"4,000.00",0.00,"616,400.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"4,000.00",0.00,"620,400.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"7,000.00",0.00,"627,400.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"7,000.00",0.00,"634,400.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"4,000.00",0.00,"638,400.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"1,500.00",0.00,"639,900.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"2,500.00",0.00,"642,400.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"3,000.00",0.00,"645,400.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"5,000.00",0.00,"650,400.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"6,000.00",0.00,"656,400.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"1,000.00",0.00,"657,400.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"10,500.00",0.00,"667,900.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"15,000.00",0.00,"682,900.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"4,000.00",0.00,"686,900.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"11,000.00",0.00,"697,900.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,500.00,0.00,"698,400.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"5,000.00",0.00,"703,400.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"10,000.00",0.00,"713,400.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,300.00,0.00,"713,700.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"5,000.00",0.00,"718,700.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"4,000.00",0.00,"722,700.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"5,000.00",0.00,"727,700.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"3,500.00",0.00,"731,200.00"
04-10-2025,10000001,CR,1,Cr Invoice #1,"3,200.00",0.00,"734,400.00"
05-09-2025,10000001,ADVANCE,2297,Advance Invoice #2297,"25,500.00",0.00,"83,600.00"
05-09-2025,10000001,ADVANCE,2299,Advance Invoice #2299,"1,500.00",0.00,"85,100.00"
05-10-2025,10000001,ADVANCE,2357,Advance Invoice #2357,"5,000.00",0.00,"739,400.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"16,000.00",0.00,"755,400.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"6,600.00",0.00,"762,000.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"6,000.00",0.00,"768,000.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"5,500.00",0.00,"773,500.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"2,500.00",0.00,"776,000.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"2,000.00",0.00,"778,000.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"2,000.00",0.00,"780,000.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"2,500.00",0.00,"782,500.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,300.00,0.00,"782,800.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,200.00,0.00,"783,000.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"5,000.00",0.00,"788,000.00"
